Place,Total Housing Units,Occupied Units,Vacant Units,State ID,Place ID,Vacancy Rate
"Sibley village, Missouri",157,145,12,29,67718,7.643312101910828
"Laurel city, Mississippi",8053,6833,1220,28,39640,15.1496336768906
"Leland city, Mississippi",1954,1660,294,28,40280,15.046059365404298
"Corinth city, Mississippi",7253,6041,1212,28,15700,16.710326761340134
"Sullivan city, Missouri",3332,2946,386,29,71440,11.584633853541417
"Lewistown town, Missouri",329,277,52,29,41852,15.80547112462006
"Sugar Creek city, Missouri",1508,1393,115,29,71368,7.625994694960212
"La Grange city, Missouri",469,409,60,29,39764,12.79317697228145
"Livonia village, Missouri",52,19,33,29,43454,63.46153846153846
"Hunnewell city, Missouri",114,81,33,29,33760,28.947368421052634
"Center city, Missouri",256,203,53,29,12592,20.703125
"Puxico city, Missouri",460,370,90,29,60284,19.565217391304348
"Chamois city, Missouri",247,184,63,29,13060,25.506072874493928
"Linn city, Missouri",763,617,146,29,43238,19.134993446920053
"Doniphan city, Missouri",1056,885,171,29,19792,16.193181818181817
"Hollister city, Missouri",2315,1929,386,29,32662,16.673866090712743
"Gentry village, Missouri",30,19,11,29,26776,36.666666666666664
"King City city, Missouri",455,375,80,29,38774,17.582417582417584
"Stanberry city, Missouri",575,481,94,29,70270,16.34782608695652
"Benton city, Missouri",354,330,24,29,04798,6.779661016949152
"Vanduser village, Missouri",114,79,35,29,75724,30.701754385964914
"Creighton city, Missouri",146,136,10,29,17164,6.8493150684931505
"Garden City city, Missouri",769,632,137,29,26434,17.815344603381014
"Festus city, Missouri",5182,4642,540,29,24094,10.420686993438826
"Hawk Point city, Missouri",322,250,72,29,31024,22.36024844720497
"Silex village, Missouri",7,4,3,29,67808,42.857142857142854
"Troy city, Missouri",4376,3980,396,29,73942,9.049360146252285
"Morehouse city, Missouri",509,413,96,29,49898,18.860510805500983
"Aldrich village, Missouri",45,27,18,29,00568,40.0
"Halfway village, Missouri",90,61,29,29,29962,32.22222222222222
"Galt city, Missouri",160,108,52,29,26362,32.5
"Princeton city, Missouri",599,426,173,29,59942,28.881469115191987
"Ionia town, Missouri",54,42,12,29,35306,22.22222222222222
"Breckenridge city, Missouri",244,146,98,29,08128,40.16393442622951
"Jonesburg city, Missouri",337,269,68,29,37574,20.178041543026705
"McKittrick town, Missouri",40,25,15,29,45200,37.5
"Anderson city, Missouri",883,747,136,29,01198,15.402038505096263
"Rensselaer village, Missouri",105,100,5,29,61184,4.761904761904762
"Vandalia city, Missouri",1354,1109,245,29,75688,18.09453471196455
"Bloomfield city, Missouri",942,769,173,29,06382,18.365180467091292
"Dudley city, Missouri",103,86,17,29,20296,16.50485436893204
"Oak Grove city, Missouri",3007,2749,258,29,53624,8.579980046558031
"Lake Lotawana city, Missouri",1332,821,511,29,39980,38.36336336336336
"Unity Village village, Missouri",51,51,0,29,75202,0.0
"Dexter city, Missouri",3869,3267,602,29,19396,15.559576117859914
"Lexington city, Missouri",2214,1951,263,29,41870,11.878952122854562
"Napoleon city, Missouri",90,86,4,29,51140,4.444444444444445
"Jamestown town, Missouri",194,165,29,29,36368,14.948453608247423
"Velda City city, Missouri",741,567,174,29,75796,23.481781376518217
"Mill Spring village, Missouri",94,61,33,29,48386,35.1063829787234
"Ludlow town, Missouri",83,52,31,29,44390,37.34939759036144
"Excelsior Estates village, Missouri",91,73,18,29,23077,19.78021978021978
"Osage Beach city, Missouri",5660,1854,3806,29,55244,67.24381625441697
"Collins village, Missouri",92,73,19,29,15562,20.652173913043477
"Moundville town, Missouri",83,63,20,29,50330,24.096385542168676
"Chillicothe city, Missouri",3996,3467,529,29,13690,13.238238238238237
"Reeds Spring city, Missouri",433,385,48,29,61112,11.085450346420323
"Kennett city, Missouri",4970,4387,583,29,38306,11.730382293762576
"Golden City city, Missouri",450,333,117,29,27676,26.0
"Liberal city, Missouri",383,300,83,29,41906,21.671018276762403
"Stockton city, Missouri",942,802,140,29,70828,14.8619957537155
"Miller city, Missouri",441,314,127,29,48242,28.798185941043087
"Holliday village, Missouri",72,56,16,29,32626,22.22222222222222
"Newburg city, Missouri",307,220,87,29,51716,28.338762214983714
"Bel-Nor village, Missouri",704,612,92,29,04348,13.068181818181818
"Cool Valley city, Missouri",534,451,83,29,16228,15.543071161048688
"Crestwood city, Missouri",5174,4865,309,29,17218,5.972168534982606
"Flordell Hills city, Missouri",394,318,76,29,24706,19.289340101522843
"Hanley Hills village, Missouri",953,762,191,29,30196,20.041972717733472
"Marlborough village, Missouri",1633,1514,119,29,46208,7.287201469687692
"Rock Hill city, Missouri",2142,1898,244,29,62660,11.391223155929039
"St. Ann city, Missouri",6447,5655,792,29,63956,12.284783620288506
"Lake Ozark city, Missouri",1756,734,1022,29,40034,58.20045558086561
"Olean town, Missouri",69,31,38,29,54560,55.072463768115945
"Deerfield village, Missouri",24,22,2,29,18802,8.333333333333332
"Milo village, Missouri",35,31,4,29,48476,11.428571428571429
"Oronogo city, Missouri",821,792,29,29,54920,3.5322777101096223
"Bates City city, Missouri",122,87,35,29,03556,28.688524590163933
"Dover town, Missouri",43,35,8,29,19918,18.6046511627907
"Lake Lafayette city, Missouri",165,129,36,29,39952,21.818181818181817
"Farley village, Missouri",107,98,9,29,23698,8.411214953271028
"Ferrelview village, Missouri",274,246,28,29,24058,10.218978102189782
"Houston Lake city, Missouri",167,153,14,29,33292,8.383233532934131
"Northmoor city, Missouri",163,151,12,29,53174,7.361963190184049
"Parkville city, Missouri",2527,2467,60,29,56288,2.374356944994064
"Platte City city, Missouri",1975,1822,153,29,58178,7.746835443037975
"Tracy city, Missouri",96,91,5,29,73690,5.208333333333334
"South Gorin town, Missouri",70,33,37,29,68870,52.85714285714286
"Bel-Ridge village, Missouri",1179,1031,148,29,04366,12.55301102629347
"Bragg City town, Missouri",54,40,14,29,07876,25.925925925925924
"Fordland city, Missouri",383,354,29,29,25012,7.5718015665796345
"Malta Bend town, Missouri",117,84,33,29,45632,28.205128205128204
"St. James city, Missouri",1897,1625,272,29,64424,14.3384290985767
"Lupus town, Missouri",25,17,8,29,44498,32.0
"Rockville city, Missouri",81,50,31,29,62786,38.2716049382716
"Salem city, Missouri",2589,2361,228,29,65234,8.80648899188876
"Alba city, Missouri",333,307,26,29,00496,7.807807807807808
"Avilla town, Missouri",42,27,15,29,02746,35.714285714285715
"Brooklyn Heights town, Missouri",57,52,5,29,08776,8.771929824561402
"Carytown city, Missouri",161,103,58,29,11728,36.024844720496894
"Buffalo city, Missouri",1516,1255,261,29,09514,17.216358839050134
"Macon city, Missouri",2507,2077,430,29,45326,17.151974471479857
"Ashland city, Missouri",1528,1442,86,29,02242,5.6282722513089
"Harrisburg town, Missouri",138,122,16,29,30484,11.594202898550725
"Hartsburg town, Missouri",73,55,18,29,30718,24.65753424657534
"Oakwood village, Missouri",70,69,1,29,53894,1.4285714285714286
"Sheridan town, Missouri",156,89,67,29,67358,42.94871794871795
"Brookfield city, Missouri",2333,1877,456,29,08650,19.54564937848264
"Linneus city, Missouri",146,123,23,29,43292,15.753424657534246
"Joplin city, Missouri",23375,20251,3124,29,37592,13.364705882352942
"Leawood village, Missouri",293,229,64,29,41132,21.843003412969285
"Redings Mill village, Missouri",67,67,0,29,60986,0.0
"Stotesbury town, Missouri",8,8,0,29,70954,0.0
"Maplewood city, Missouri",4641,4182,459,29,45830,9.89010989010989
"Halltown village, Missouri",99,56,43,29,30016,43.43434343434344
"Pine Lawn city, Missouri",1671,1106,565,29,57800,33.81208856971873
"Brumley town, Missouri",44,37,7,29,08974,15.909090909090908
"Walker city, Missouri",151,121,30,29,76660,19.867549668874172
"Stoutsville village, Missouri",38,13,25,29,71026,65.78947368421053
"Crystal Lake Park city, Missouri",201,189,12,29,17650,5.970149253731343
"Eureka city, Missouri",3694,3420,274,29,22834,7.4174336762317274
"Florissant city, Missouri",21984,19824,2160,29,24778,9.82532751091703
"Norwood Court town, Missouri",574,531,43,29,53462,7.491289198606271
"Oakville CDP, Missouri",14873,14292,581,29,53876,3.9064075842130035
"Shrewsbury city, Missouri",3304,3099,205,29,67700,6.204600484261501
"Sycamore Hills village, Missouri",341,294,47,29,72034,13.78299120234604
"University City city, Missouri",17144,15468,1676,29,75220,9.776014932337844
"Blairstown city, Missouri",59,45,14,29,06238,23.728813559322035
"Diamond town, Missouri",441,395,46,29,19432,10.430839002267573
"Fairview town, Missouri",200,165,35,29,23518,17.5
"Loma Linda town, Missouri",357,335,22,29,43672,6.162464985994398
"Newtonia town, Missouri",75,70,5,29,52292,6.666666666666667
"Bolckow city, Missouri",102,77,25,29,06922,24.509803921568626
"Country Club village, Missouri",1022,993,29,29,16802,2.8375733855185907
"Rosendale city, Missouri",69,52,17,29,63200,24.637681159420293
"Merriam Woods village, Missouri",944,742,202,29,47520,21.398305084745765
"Lawson city, Missouri",986,860,126,29,40988,12.778904665314403
"Spanish Lake CDP, Missouri",8993,6945,2048,29,69266,22.773268097409098
"Utica village, Missouri",102,79,23,29,75364,22.54901960784314
"Elmira village, Missouri",34,11,23,29,22006,67.64705882352942
"Richmond city, Missouri",2824,2412,412,29,61670,14.589235127478753
"Hurley city, Missouri",98,80,18,29,33922,18.367346938775512
"Iberia city, Missouri",324,267,57,29,34228,17.59259259259259
"Gerster town, Missouri",22,13,9,29,26902,40.909090909090914
"Lowry City city, Missouri",349,290,59,29,44282,16.9054441260745
"Trenton city, Missouri",2890,2354,536,29,73816,18.546712802768166
"Mercer town, Missouri",217,151,66,29,47486,30.414746543778804
"Barnett city, Missouri",111,96,15,29,03376,13.513513513513514
"Worthington village, Missouri",72,50,22,29,81106,30.555555555555557
"Leonard village, Missouri",32,28,4,29,41546,12.5
"Shelbina city, Missouri",791,652,139,29,67178,17.572692793931733
"Anniston town, Missouri",92,65,27,29,01288,29.347826086956523
"Charleston city, Missouri",2076,1770,306,29,13366,14.739884393063585
"Pinhook village, Missouri",0,0,0,29,57926,
"Tarkio city, Missouri",867,739,128,29,72340,14.763552479815456
"Caruthersville city, Missouri",2818,2457,361,29,11692,12.810503903477644
"Holland town, Missouri",99,80,19,29,32590,19.19191919191919
"St. Mary city, Missouri",189,138,51,29,65034,26.984126984126984
"Bellflower city, Missouri",236,171,65,29,04330,27.54237288135593
"High Hill city, Missouri",110,97,13,29,31996,11.818181818181818
"Bismarck city, Missouri",727,588,139,29,05878,19.119669876203577
"Potosi city, Missouri",1170,1076,94,29,59330,8.034188034188034
"Triplett city, Missouri",18,13,5,29,73870,27.77777777777778
"Gray Summit CDP, Missouri",983,960,23,29,28918,2.3397761953204474
"Chain of Rocks village, Missouri",30,27,3,29,13006,10.0
"Winfield city, Missouri",521,458,63,29,80422,12.092130518234164
"Canalou city, Missouri",92,66,26,29,11026,28.26086956521739
"Risco city, Missouri",189,162,27,29,61994,14.285714285714285
"Humansville city, Missouri",445,368,77,29,33706,17.303370786516854
"Holt city, Missouri",177,149,28,29,32752,15.819209039548024
"Gower city, Missouri",681,635,46,29,28036,6.7547723935389135
"Mindenmines city, Missouri",177,134,43,29,48566,24.293785310734464
"El Dorado Springs city, Missouri",1737,1486,251,29,21502,14.45020149683362
"Osceola city, Missouri",601,450,151,29,55388,25.124792013311147
"Richards town, Missouri",45,40,5,29,61364,11.11111111111111
"Campbell city, Missouri",978,840,138,29,10864,14.11042944785276
"Clarkton city, Missouri",547,488,59,29,14212,10.786106032906764
"Knob Noster city, Missouri",1448,1261,187,29,39188,12.914364640883976
"Russellville city, Missouri",421,322,99,29,63704,23.51543942992874
"Bethany city, Missouri",1661,1393,268,29,05068,16.134858518964478
"Blythedale village, Missouri",94,80,14,29,06742,14.893617021276595
"Willard city, Missouri",2110,2071,39,29,79882,1.8483412322274881
"Chilhowee town, Missouri",180,143,37,29,13654,20.555555555555554
"Warrensburg city, Missouri",8045,7355,690,29,77092,8.576755748912369
"Lancaster city, Missouri",363,270,93,29,40610,25.6198347107438
"Curryville city, Missouri",110,86,24,29,17902,21.818181818181817
"Queen City city, Missouri",293,234,59,29,60356,20.13651877133106
"Hillsboro city, Missouri",1033,985,48,29,32248,4.646660212971927
"Kimmswick city, Missouri",61,52,9,29,38684,14.754098360655737
"Murphy CDP, Missouri",3590,3356,234,29,50834,6.518105849582173
"Parkdale village, Missouri",89,80,9,29,56226,10.112359550561797
"Purdy city, Missouri",533,445,88,29,60176,16.51031894934334
"Imperial CDP, Missouri",1821,1627,194,29,34354,10.653487095002747
"Fisk city, Missouri",180,149,31,29,24328,17.22222222222222
"Centertown town, Missouri",163,140,23,29,12664,14.11042944785276
"Josephville village, Missouri",172,157,15,29,37700,8.720930232558139
"Portage Des Sioux city, Missouri",162,139,23,29,59150,14.19753086419753
"St. Charles city, Missouri",29896,27872,2024,29,64082,6.770136473106771
"Wentzville city, Missouri",13002,12367,635,29,78442,4.883864020919859
"Summersville city, Missouri",298,233,65,29,71512,21.812080536912752
"Irondale city, Missouri",187,139,48,29,35396,25.668449197860966
"Fayette city, Missouri",1168,838,330,29,23842,28.25342465753425
"Arrow Rock town, Missouri",40,27,13,29,02044,32.5
"Mount Leonard town, Missouri",42,20,22,29,50510,52.38095238095239
"Diggins village, Missouri",145,114,31,29,19504,21.379310344827587
